time,hour,soc_kwh,soc_min_kwh,soc_max_kwh
00:00,0.0,2229.332312925927,1200.0,10800.0
00:10,0.16666666666666666,2226.864738851853,1200.0,10800.0
00:20,0.3333333333333333,2262.001686851853,1200.0,10800.0
00:30,0.5,2645.468871851853,1200.0,10800.0
00:40,0.6666666666666666,2594.7590718518527,1200.0,10800.0
00:50,0.8333333333333333,2615.8501818518525,1200.0,10800.0
01:00,1.0,2677.5263028518525,1200.0,10800.0
01:10,1.1666666666666665,2715.3073548518523,1200.0,10800.0
01:20,1.3333333333333333,2756.2839738518524,1200.0,10800.0
01:30,1.5,2784.828259851852,1200.0,10800.0
01:40,1.6666666666666665,2757.0465783703708,1200.0,10800.0
01:50,1.8333333333333333,2751.540515407408,1200.0,10800.0
02:00,2.0,2729.224400592593,1200.0,10800.0
02:10,2.1666666666666665,2696.436019111112,1200.0,10800.0
02:20,2.333333333333333,2675.8692857777783,1200.0,10800.0
02:30,2.5,2673.86993762963,1200.0,10800.0
02:40,2.6666666666666665,2670.08173762963,1200.0,10800.0
02:50,2.833333333333333,2681.64470962963,1200.0,10800.0
03:00,3.0,2679.9769540740745,1200.0,10800.0
03:10,3.1666666666666665,2651.238783703704,1200.0,10800.0
03:20,3.333333333333333,2623.859024444445,1200.0,10800.0
03:30,3.5,2590.9367800000005,1200.0,10800.0
03:40,3.6666666666666665,2550.8116059259264,1200.0,10800.0
03:50,3.833333333333333,2555.0038239259266,1200.0,10800.0
04:00,4.0,2577.7648599259264,1200.0,10800.0
04:10,4.166666666666666,2556.7077302962966,1200.0,10800.0
04:20,4.333333333333333,2537.807337703704,1200.0,10800.0
04:30,4.5,2535.037715481482,1200.0,10800.0
04:40,4.666666666666666,2547.7501944814817,1200.0,10800.0
04:50,4.833333333333333,2563.8880014814818,1200.0,10800.0
05:00,5.0,2575.8249624814816,1200.0,10800.0
05:10,5.166666666666666,2580.8006244814815,1200.0,10800.0
05:20,5.333333333333333,2600.1588534814814,1200.0,10800.0
05:30,5.5,2629.3599204814814,1200.0,10800.0
05:40,5.666666666666666,2660.823053481481,1200.0,10800.0
05:50,5.833333333333333,3410.823053481481,1200.0,10800.0
06:00,6.0,3036.3398127407404,1200.0,10800.0
06:10,6.166666666666666,2693.573146074074,1200.0,10800.0
06:20,6.333333333333333,2369.170368296296,1200.0,10800.0
06:30,6.5,2095.313294222222,1200.0,10800.0
06:40,6.666666666666666,1910.4785719999998,1200.0,10800.0
06:50,6.833333333333333,1802.2728127407406,1200.0,10800.0
07:00,7.0,1706.4815905185183,1200.0,10800.0
07:10,7.166666666666666,1594.4408497777777,1200.0,10800.0
07:20,7.333333333333333,1524.127183111111,1200.0,10800.0
07:30,7.5,1499.7630905185183,1200.0,10800.0
07:40,7.666666666666666,1507.2687155185183,1200.0,10800.0
07:50,7.833333333333333,1563.9388205185182,1200.0,10800.0
08:00,8.0,1668.6121655185182,1200.0,10800.0
08:10,8.166666666666666,1809.7719155185182,1200.0,10800.0
08:20,8.333333333333332,1985.6788205185183,1200.0,10800.0
08:30,8.5,2177.8005155185183,1200.0,10800.0
08:40,8.666666666666666,2375.967015518518,1200.0,10800.0
08:50,8.833333333333332,2593.301655518518,1200.0,10800.0
09:00,9.0,2800.0882955185184,1200.0,10800.0
09:10,9.166666666666666,2964.406545518518,1200.0,10800.0
09:20,9.333333333333332,3108.5643905185184,1200.0,10800.0
09:30,9.5,3302.0373605185187,1200.0,10800.0
09:40,9.666666666666666,3597.4942355185185,1200.0,10800.0
09:50,9.833333333333332,3976.5006455185185,1200.0,10800.0
10:00,10.0,4381.074210518518,1200.0,10800.0
10:10,10.166666666666666,4777.583835518518,1200.0,10800.0
10:20,10.333333333333332,5192.151615518518,1200.0,10800.0
10:30,10.5,5632.267035518518,1200.0,10800.0
10:40,10.666666666666666,6097.128660518518,1200.0,10800.0
10:50,10.833333333333332,6602.191770518518,1200.0,10800.0
11:00,11.0,7153.825455518518,1200.0,10800.0
11:10,11.166666666666666,7711.9589555185175,1200.0,10800.0
11:20,11.333333333333332,8216.103705518517,1200.0,10800.0
11:30,11.5,8798.441970518517,1200.0,10800.0
11:40,11.666666666666666,9525.111720518516,1200.0,10800.0
