duration_percent,net_load_kw
0.0,6687.7481
0.1388888888888889,6333.0819
0.2777777777777778,6260.0126
0.41666666666666663,6205.8261
0.5555555555555556,6160.53
0.6944444444444444,6112.2518
0.8333333333333333,6059.9662
0.9722222222222222,6014.04
1.1111111111111112,5973.3519
1.25,5941.2869
1.3888888888888888,5904.2837
1.5277777777777777,5865.2875
1.6666666666666665,5831.93
1.8055555555555554,5796.453
1.9444444444444444,5775.6091
2.083333333333333,5746.9324
2.2222222222222223,5722.2528
2.361111111111111,5701.3910000000005
2.5,5679.1203
2.638888888888889,5655.7936
2.7777777777777777,5634.0972
2.9166666666666665,5608.3975
3.0555555555555554,5585.0904
3.194444444444444,5559.85
3.333333333333333,5535.4621
3.472222222222222,5512.9975
3.6111111111111107,5493.4975
3.75,5472.9758
3.888888888888889,5452.3771
4.027777777777778,5427.17
4.166666666666666,5406.797500000001
4.305555555555555,5385.4193000000005
4.444444444444445,5366.879999999999
4.583333333333333,5346.229
4.722222222222222,5324.19
4.861111111111111,5300.2961
5.0,5277.5972
5.138888888888888,5256.9881000000005
5.277777777777778,5232.834999999999
5.416666666666666,5208.4164
5.555555555555555,5182.2346
5.694444444444444,5157.7733
5.833333333333333,5128.4824
5.972222222222222,5105.86
6.111111111111111,5080.3525
6.25,5059.3936
6.388888888888888,5033.2496
6.527777777777778,5010.5380000000005
6.666666666666666,4985.9902
6.805555555555555,4964.2357
6.944444444444444,4948.6765
7.083333333333333,4927.2855
7.222222222222221,4909.9146
7.361111111111111,4892.8862
7.5,4878.2154
7.638888888888888,4862.1882
7.777777777777778,4846.9404
7.916666666666666,4831.2262
8.055555555555555,4819.1954
8.194444444444445,4806.610299999999
8.333333333333332,4794.7525
8.472222222222221,4780.284900000001
8.61111111111111,4769.4069
8.75,4757.0526
8.88888888888889,4746.8379
9.027777777777777,4733.1353
9.166666666666666,4721.3895
9.305555555555555,4709.1521
9.444444444444445,4698.0443000000005
9.583333333333332,4685.77
9.722222222222221,4675.1065
9.86111111111111,4662.08
10.0,4650.85
10.138888888888888,4640.3
10.277777777777777,4630.5144
10.416666666666666,4616.9244
10.555555555555555,4607.79
10.694444444444445,4597.77
10.833333333333332,4587.5222
10.972222222222221,4578.38
11.11111111111111,4569.0074
11.25,4559.5956
11.388888888888888,4550.9344
11.527777777777777,4543.3173
11.666666666666666,4535.331999999999
11.805555555555555,4528.1675000000005
11.944444444444445,4521.53
12.083333333333332,4513.5242
12.222222222222221,4507.6034
12.36111111111111,4500.5635
12.5,4494.23
12.638888888888888,4487.34
12.777777777777777,4480.5727
12.916666666666666,4473.1882
13.055555555555555,4468.08
13.194444444444443,4463.23
13.333333333333332,4455.5361
13.472222222222221,4449.94
13.61111111111111,4444.84
13.75,4439.09
13.888888888888888,4432.77
14.027777777777777,4427.8111
14.166666666666666,4422.4883
14.305555555555555,4418.4579
14.444444444444443,4413.297500000001
14.583333333333332,4407.5777
14.722222222222221,4402.6087
14.86111111111111,4398.23
15.0,4392.58
15.138888888888888,4388.0845
15.277777777777777,4383.19
15.416666666666666,4379.1561
15.555555555555555,4374.4308
15.694444444444443,4369.2408
15.833333333333332,4365.13
15.972222222222221,4361.3084
16.11111111111111,4357.6016
16.25,4353.5825
16.38888888888889,4349.0745
16.52777777777778,4345.365000000001
16.666666666666664,4340.7604
16.805555555555554,4336.119
16.944444444444443,4333.3776
17.083333333333332,4328.08
17.22222222222222,4323.9184
17.36111111111111,4320.625
17.5,4315.82
17.63888888888889,4311.6585
17.77777777777778,4307.29
17.916666666666664,4303.58
18.055555555555554,4299.25
18.194444444444443,4295.09
18.333333333333332,4291.62
18.47222222222222,4287.7302
18.61111111111111,4283.9398
18.75,4279.4874
18.88888888888889,4275.9972
19.027777777777775,4271.201
19.166666666666664,4266.8904
19.305555555555554,4263.507500000001
19.444444444444443,4258.65
19.583333333333332,4254.2983
19.72222222222222,4250.8743
19.86111111111111,4246.97
20.0,4241.8258
20.13888888888889,4237.83
20.277777777777775,4232.9211000000005
20.416666666666664,4228.58
20.555555555555554,4223.4666
20.694444444444443,4218.956
20.833333333333332,4214.3351
20.97222222222222,4209.3959
21.11111111111111,4203.63
21.25,4198.42
21.38888888888889,4192.74
21.527777777777775,4187.36
21.666666666666664,4183.47
21.805555555555554,4178.3325
21.944444444444443,4172.797500000001
22.083333333333332,4166.1605
22.22222222222222,4160.6563
22.36111111111111,4154.4894
22.5,4148.448
22.63888888888889,4142.46
22.777777777777775,4134.6927
22.916666666666664,4128.622799999999
23.055555555555554,4122.2521
23.194444444444443,4115.0373
23.333333333333332,4108.013
23.47222222222222,4101.05
23.61111111111111,4093.5673
23.75,4086.6243
23.88888888888889,4079.87
24.027777777777775,4072.7635
24.166666666666664,4066.0939
24.305555555555554,4061.3900000000003
24.444444444444443,4053.2548
24.583333333333332,4044.77
24.72222222222222,4036.06
24.86111111111111,4027.9946
25.0,4021.9674999999997
25.138888888888886,4014.2795
25.277777777777775,4006.93
25.416666666666664,3999.2869
25.555555555555554,3991.1221000000005
25.694444444444443,3983.77
25.833333333333332,3975.1396
25.97222222222222,3968.2398
26.11111111111111,3960.6275
26.25,3953.22
26.388888888888886,3947.094
26.527777777777775,3940.0875
26.666666666666664,3930.594
26.805555555555554,3923.0595
26.944444444444443,3916.0507
27.083333333333332,3908.2320000000004
27.22222222222222,3900.7291999999998
27.36111111111111,3892.7028
27.5,3884.1925
27.638888888888886,3877.2287
27.777777777777775,3869.7075
27.916666666666664,3862.3122
28.055555555555554,3855.999
28.194444444444443,3849.665
28.333333333333332,3844.2250000000004
28.47222222222222,3836.95
28.61111111111111,3831.34
28.75,3824.73
28.888888888888886,3816.9
29.027777777777775,3809.9159
29.166666666666664,3804.64
29.305555555555554,3799.684
29.444444444444443,3794.3598
29.583333333333332,3787.49
29.72222222222222,3781.74
29.86111111111111,3775.8012
30.0,3769.0647
30.138888888888886,3763.56
30.277777777777775,3758.0044
30.416666666666664,3752.6886
30.555555555555554,3747.9383
30.694444444444443,3743.5048
30.833333333333332,3738.4441
30.97222222222222,3732.5778
31.11111111111111,3727.83
31.25,3722.9827
31.388888888888886,3718.8711000000003
31.527777777777775,3714.4443
31.666666666666664,3710.2563
