date,total_cost,plan_cost,emergency_cost,emergency_kwh
2025-02-01,17445.510401469397,17445.510401469397,0.0,0.0
2025-02-02,61929.829747453725,61347.0915486804,582.738198773323,91.94354666666504
2025-02-03,66958.49020397519,61286.32300729519,5672.167196680004,882.7554217666645
2025-02-04,63335.3751257468,63133.578232592,201.79689315480218,74.72381210000106
2025-02-05,73383.29289694916,58116.591346618494,15266.701550330668,2634.979267753325
2025-02-06,66359.30349317241,66126.67876998098,232.62472319143362,36.20043999333336
2025-02-07,19375.126669937003,19375.126669937003,0.0,0.0
2025-02-08,17158.591797188754,14708.131062064702,2450.460735124052,491.8054722333307
2025-02-09,62618.665176090275,60625.6232309006,1993.041945189676,366.1808306666651
2025-02-10,55896.8451285623,54786.851148980735,1109.9939795815671,221.10435909999998
2025-02-11,67843.01007262683,53965.5881920451,13877.421880581725,2478.769248433334
2025-02-12,56261.72200981433,55396.28912642321,865.4328833911204,142.38178446666984
2025-02-13,52680.62788322228,52470.08970077668,210.53818244559977,41.873146866666616
2025-02-14,15248.581668130399,15248.581668130399,0.0,0.0
2025-02-15,15679.6623814684,15679.6623814684,0.0,0.0
2025-02-16,58935.96609362979,57745.53727928491,1190.4288143448812,209.4581683333327
2025-02-17,58390.34579982558,56231.21511499973,2159.130684825851,370.45283339999713
2025-02-18,78648.43055019887,45938.86804222673,32709.562507972147,5219.097625466663
2025-02-19,70411.8128466479,47997.19070472609,22414.622141921798,3863.473428166663
2025-02-20,54209.730172681004,53476.8960711357,732.834101545305,130.6479095999982
2025-02-21,15156.824299800803,15156.824299800803,0.0,0.0
2025-02-22,14913.239205798902,14913.239205798902,0.0,0.0
2025-02-23,55646.94739613345,51482.092915642905,4164.854480490548,771.7824710333327
2025-02-24,50498.879864235634,49028.846156101004,1470.0337081346295,268.92744296666604
2025-02-25,53394.70438762184,47326.821830350935,6067.882557270905,1131.0973437666648
2025-02-26,72188.60124226724,44293.20030587644,27895.40093639079,4410.95698223333
2025-02-27,51921.978551885506,45878.485779085095,6043.492772800411,944.2934481333269
2025-02-28,14344.3485856606,14344.3485856606,0.0,0.0
2025-03-01,14988.7773319532,14988.7773319532,0.0,0.0
2025-03-02,56061.406048753764,52377.46336315641,3683.942685597359,680.412564299996
2025-03-03,58858.31057279811,52673.183033409005,6185.1275393891065,1044.0283657666646
2025-03-04,70504.87434187307,43939.376256519,26565.498085354076,4508.223884033329
2025-03-05,48636.37308482024,46399.6139754179,2236.7591094023387,338.42784093333415
2025-03-06,46980.794334208724,44638.1107519962,2342.6835822125176,438.7252342333255
2025-03-07,14535.792196248498,14535.792196248498,0.0,0.0
2025-03-08,14149.890771613482,12621.49798362607,1528.3927879874116,483.27875149999846
2025-03-09,45742.55412185863,45488.176294471705,254.3778273869267,59.61994259999799
2025-03-10,57224.987696231925,44806.507181509995,12418.480514721934,2238.9332112666666
2025-03-11,94676.86228305553,36040.836123480694,58636.02615957484,9403.786503743328
2025-03-12,47710.78906527881,43470.0120632706,4240.777002008209,836.3415358666618
2025-03-13,48840.457096909726,46476.456027389,2364.001069520721,370.17445136666987
2025-03-14,12877.5168786718,12877.5168786718,0.0,0.0
2025-03-15,12946.399139013682,12379.7763595082,566.6227795054813,201.9266267666659
2025-03-16,43309.2478518689,43301.1667518689,8.081100000000493,1.6400000000001
2025-03-17,41061.66785644184,38788.7537786357,2272.9140778061446,344.66814433333
2025-03-18,46806.129797900336,42862.51420378283,3943.615594117507,781.3461662333339
2025-03-19,62287.67370673288,36481.609808289155,25806.06389844372,4186.846906400001
2025-03-20,48160.614347094226,42660.0154981166,5500.598848977627,1027.7144486999991
2025-03-21,12044.2423192556,12044.2423192556,0.0,0.0
2025-03-22,12528.704519581901,12528.704519581901,0.0,0.0
2025-03-23,43579.316494118226,42112.859836079995,1466.4566580382323,269.6535647666663
2025-03-24,39989.84456190922,39847.6599912994,142.1845706098259,57.04496313333034
2025-03-25,47350.1037301568,41492.274612387,5857.829117769798,1100.8875256333326
2025-03-26,42376.37958960852,38044.089122453996,4332.290467154526,765.1101562999959
2025-03-27,40391.556584908096,40391.556584908096,0.0,0.0
2025-03-28,12187.776018624201,12187.776018624201,0.0,0.0
2025-03-29,12731.51408269954,11381.510092868,1350.0039898315385,260.3170053666677
2025-03-30,38484.412418712396,38484.412418712396,0.0,0.0
2025-03-31,59216.96468590606,34679.8178440679,24537.14684183816,3826.799091843328
2025-04-01,52951.29464459747,39595.1515907967,13356.143053800768,2133.9109149999977
2025-04-02,44061.9957447321,39073.212738229806,4988.783006502295,749.4895483666711
2025-04-03,41568.533643034534,41515.8502692034,52.683373831128876,24.339196799998128
2025-04-04,11368.6448070496,11368.6448070496,0.0,0.0
2025-04-05,11504.100575473489,10810.180101480302,693.9204739931861,233.66729226666337
2025-04-06,38793.83609299668,37853.384205063,940.4518879336862,155.9206366666644
2025-04-07,46184.33384228225,32926.9682993387,13257.365542943546,2099.6061249666654
2025-04-08,42855.93352407112,35476.4605017489,7379.47302232222,1294.090064066664
2025-04-09,48083.308245276094,36804.31794372,11278.990301556094,1806.5641886666626
2025-04-10,37614.863695291584,37216.77295692069,398.0907383708903,83.39578696666517
2025-04-11,11201.217178266314,10342.691788472599,858.5253897937143,299.28106379999895
2025-04-12,10726.3664802274,10726.3664802274,0.0,0.0
2025-04-13,41878.38966309722,34763.450998353896,7114.938664743327,1109.3934412666656
2025-04-14,38106.56449543591,36743.117623285,1363.4468721509095,209.60370456666556
2025-04-15,48819.36816972557,30185.2519572091,18634.116212516466,2953.7848028999915
2025-04-16,44491.273857880165,34255.3301492038,10235.943708676363,1639.6151343666554
2025-04-17,49908.52583197194,32986.1551137826,16922.370718189337,2707.9508386999983
2025-04-18,10525.7953199878,10525.7953199878,0.0,0.0
2025-04-19,10138.666817473562,9784.59007252881,354.07674494475276,87.12518330333484
2025-04-20,42247.82887950975,32532.656800903802,9715.172078605945,1598.822891413326
2025-04-21,35387.76947411883,33796.9609693081,1590.8085048107323,369.6632798666662
2025-04-22,56085.18407111545,30188.457747241097,25896.72632387435,4166.203905299992
2025-04-23,58676.786721219214,30267.257157555498,28409.529563663717,4510.36210483333
2025-04-24,33084.722408162095,31591.253254407202,1493.4691537548943,222.32147689999903
2025-04-25,9961.151266325523,9762.508265212598,198.64300111292482,96.20468683333074
2025-04-26,9984.545293881509,9645.5550695169,338.9902243646085,130.11815543333114
2025-04-27,40632.97713067668,30516.3833345917,10116.593796084975,1681.5273093333285
2025-04-28,38214.55686418927,36328.719790115996,1885.8370740732712,313.7756303666671
2025-04-29,46672.818779494424,28895.214969810597,17777.603809683827,2898.408381699996
2025-04-30,44939.29675465501,28701.6125555174,16237.684199137615,2723.402101066664
2025-05-01,52394.62563757223,32125.66426298137,20268.961374590865,3873.4706400333316
2025-05-02,14509.538565908291,12077.2589998958,2432.279566012492,624.0584665999985
2025-05-03,15870.364886971074,10916.3446982551,4954.020188715974,1100.9006755999976
2025-05-04,42277.592986132746,34186.302292589404,8091.290693543341,1580.373183333334
2025-05-05,39268.55196045277,37323.630217626196,1944.9217428265758,301.4203375333297
2025-05-06,61341.46157845369,32309.6537003482,29031.807878105486,5120.715639599992
2025-05-07,56451.28908038551,34931.696845863,21519.592234522508,3388.88256736666
2025-05-08,41022.15671812365,38014.206276129,3007.95044199465,459.65012866666416
2025-05-09,13033.089386973299,13033.089386973299,0.0,0.0
2025-05-10,11654.396987614404,11654.396987614404,0.0,0.0
2025-05-11,42110.76809895208,35667.932835960004,6442.835262992079,940.1498544666634
2025-05-12,58748.98661004285,32292.716343820204,26456.270266222644,4063.0526908333286
2025-05-13,47280.82462576551,33949.5590832616,13331.265542503908,2045.5541474333315
2025-05-14,40458.614045882605,34345.090204649,6113.523841233606,1075.727877793326
2025-05-15,38942.83513446926,35981.6764264886,2961.1587079806563,540.5345667333365
2025-05-16,11470.712037442601,11470.712037442601,0.0,0.0
2025-05-17,12937.026793620673,11280.04324524027,1656.983548380404,325.69701196666415
2025-05-18,37352.274644585596,37317.8461795856,34.42846500000008,5.236666666666679
2025-05-19,36932.175140667416,32777.4245677367,4154.750572930713,621.3163314666637
2025-05-20,65694.5066023212,31861.778343081598,33832.72825923961,5203.475478633327
2025-05-21,57866.970769921485,31531.830372192497,26335.14039772899,4290.354988966662
2025-05-22,39128.88705881613,33657.5169800029,5471.370078813227,841.8534559666607
2025-05-23,11546.42271886847,10904.8292978094,641.5934210590711,128.95251136666428
2025-05-24,11411.06135853764,11411.06135853764,0.0,0.0
2025-05-25,39146.420168205725,33294.6748191686,5851.745349037129,858.8232516333304
2025-05-26,63451.114897291845,32491.501143069003,30959.613754222843,4907.80924103333
2025-05-27,51309.20557526281,30508.5964717134,20800.60910354941,3402.4866050999935
2025-05-28,40679.33027874708,33371.9370681232,7307.393210623878,1135.387033933335
2025-05-29,49403.67361648674,34122.4239041595,15281.249712327242,2266.3930699666653
2025-05-30,11613.4398276018,11613.4398276018,0.0,0.0
2025-05-31,11795.90583906692,11795.90583906692,0.0,0.0
2025-06-01,71073.24200602225,48147.54369682381,22925.698309198444,4494.221565366665
2025-06-02,63863.77628502755,52448.32148567475,11415.454799352794,2126.931593299999
2025-06-03,66890.455312965,46052.727871163996,20837.727441801,3267.4379682666636
2025-06-04,60992.78755295204,56364.62393092179,4628.163622030248,800.2055495666636
2025-06-05,64074.147650724524,49625.8415171643,14448.306133560229,2112.3409907999985
2025-06-06,30574.342039631014,16097.348628875,14476.993410756015,3295.459071133332
2025-06-07,23810.789110794227,18019.9003865491,5790.8887242451265,966.7053069666625
