purchase_error_kwh,locked_loss_divided_by_pi_kwh,open_loss_divided_by_pi_kwh
-1.2,4.8,0.6
-1.19,4.76,0.595
-1.18,4.72,0.59
-1.17,4.68,0.585
-1.16,4.64,0.58
-1.15,4.6,0.575
-1.14,4.56,0.57
-1.13,4.52,0.565
-1.1199999999999999,4.4799999999999995,0.5599999999999999
-1.1099999999999999,4.4399999999999995,0.5549999999999999
-1.0999999999999999,4.3999999999999995,0.5499999999999999
-1.0899999999999999,4.359999999999999,0.5449999999999999
-1.08,4.32,0.54
-1.0699999999999998,4.279999999999999,0.5349999999999999
-1.06,4.24,0.53
-1.05,4.2,0.525
-1.04,4.16,0.52
-1.03,4.12,0.515
-1.02,4.08,0.51
-1.01,4.04,0.505
-1.0,4.0,0.5
-0.99,3.96,0.495
-0.98,3.92,0.49
-0.97,3.88,0.485
-0.96,3.84,0.48
-0.95,3.8,0.475
-0.94,3.76,0.47
-0.9299999999999999,3.7199999999999998,0.46499999999999997
-0.9199999999999999,3.6799999999999997,0.45999999999999996
-0.9099999999999999,3.6399999999999997,0.45499999999999996
-0.8999999999999999,3.5999999999999996,0.44999999999999996
-0.8899999999999999,3.5599999999999996,0.44499999999999995
-0.8799999999999999,3.5199999999999996,0.43999999999999995
-0.8699999999999999,3.4799999999999995,0.43499999999999994
-0.8599999999999999,3.4399999999999995,0.42999999999999994
-0.8499999999999999,3.3999999999999995,0.42499999999999993
-0.84,3.36,0.42
-0.83,3.32,0.415
-0.82,3.28,0.41
-0.8099999999999999,3.2399999999999998,0.40499999999999997
-0.7999999999999999,3.1999999999999997,0.39999999999999997
-0.7899999999999999,3.1599999999999997,0.39499999999999996
-0.78,3.12,0.39
-0.77,3.08,0.385
-0.76,3.04,0.38
-0.75,3.0,0.375
-0.74,2.96,0.37
-0.73,2.92,0.365
-0.72,2.88,0.36
-0.71,2.84,0.355
-0.7,2.8,0.35
-0.69,2.76,0.345
-0.6799999999999999,2.7199999999999998,0.33999999999999997
